Year,Month,transect ID,Sight Lon,Sight Lat
2012,december,11,85.0776711,19.3542878
2012,december,11,85.0780871,19.3544797
2012,december,11,85.076824,19.354756
2012,december,11,85.0773345,19.3547384
2012,december,11,85.0771241,19.3555772
2012,december,11,85.0761396,19.3560661
2012,december,11,85.0772942,19.3560658
2012,december,11,85.0761379,19.3569642
2012,december,11,85.0749096,19.3571994
2012,december,11,85.0750237,19.357877
2012,december,11,85.0754405,19.3578738
2012,december,11,85.0748153,19.3581431
2012,december,11,85.0869812,19.3432757
2012,december,11,85.0867413,19.3432785
2012,december,11,85.0861011,19.3436119
2012,december,11,85.0859983,19.3436273
2012,december,11,85.084809,19.3453874
2012,december,11,85.0832185,19.3464098
2012,december,12,85.073183,19.3476275
2012,december,12,85.0737839,19.3481009
2012,december,12,85.0717532,19.3481803
2012,december,12,85.0725489,19.3476285
2012,december,12,85.0698432,19.3496574
2012,december,12,85.0703342,19.3492851
2012,december,12,85.0697056,19.3481996
2012,december,12,85.071417,19.3508097
2012,december,12,85.0712418,19.3509051
2012,december,12,85.0694344,19.3501715
2012,december,12,85.0704976,19.3511554
2012,december,12,85.0707089,19.3515802
2012,december,12,85.0701574,19.3515863
2012,december,12,85.0691394,19.3514908
2012,december,12,85.06946,19.3524695
2012,december,12,85.0691085,19.3529148
2012,december,12,85.0690688,19.352965
2012,december,12,85.0697806,19.3534483
2012,december,12,85.0691894,19.3535047
2012,december,12,85.0685528,19.3536185
2012,december,12,85.0688265,19.3539643
2012,december,12,85.0687193,19.3540156
2012,december,12,85.0686224,19.3542228
2012,december,12,85.0690225,19.3541954
2012,december,12,85.0688788,19.3546537
2012,december,12,85.0685256,19.3542213
2012,december,12,85.0684122,19.3543649
2012,december,12,85.0684476,19.3547726
2012,december,12,85.0680191,19.3549025
2012,december,12,85.0677926,19.3544042
2012,december,12,85.0683663,19.3551805
2012,december,12,85.0677467,19.3552078
2012,december,12,85.0680199,19.3556783
2012,december,12,85.0677171,19.3552512
2012,december,12,85.0663843,19.3559257
2012,december,12,85.0658608,19.3556434
2012,december,12,85.0670414,19.3561408
2012,december,12,85.0651982,19.3555368
2012,december,12,85.0658039,19.3564078
2012,december,12,85.0665068,19.3569024
2012,december,12,85.0663687,19.3570773
2012,december,12,85.0664749,19.3568246
2012,december,12,85.0666615,19.3575035
2012,december,12,85.0661248,19.3572619
2012,december,12,85.0656658,19.3570888
2012,december,12,85.0658451,19.3578669
2012,december,12,85.0647223,19.3576089
2012,december,12,85.0649847,19.3580112
2012,december,12,85.0650677,19.3578463
2012,december,12,85.0658992,19.3584531
2012,december,12,85.0637788,19.3582803
2012,december,12,85.0636892,19.3581827
2012,december,12,85.0638893,19.3595251
2012,december,12,85.0623356,19.3613831
2012,december,12,85.0637208,19.3610812
2012,december,12,85.0636738,19.3611209
2012,december,12,85.0635713,19.3612706
2012,december,12,85.0634375,19.3616207
2012,december,12,85.0622215,19.3616376
2012,december,12,85.0625533,19.3610401
2012,december,12,85.0621691,19.3615176
2012,december,12,85.0634606,19.361394
2012,december,12,85.0631941,19.3610982
2012,december,12,85.06349,19.3606052
2012,december,12,85.0629749,19.3606833
2012,december,12,85.0627672,19.3602539
2012,december,12,85.0631996,19.3594578
2012,december,12,85.0628759,19.3594239
2012,december,12,85.0645339,19.3595277
2012,december,12,85.0648155,19.3582525
2012,december,13,85.0582854,19.354898
2012,december,13,85.057599,19.3564649
2012,december,13,85.0566639,19.3571485
2012,december,13,85.0566042,19.3574716
2012,december,13,85.0673368,19.3447404
2012,december,13,85.0667762,19.3452899
2012,december,13,85.0661921,19.3452853
2012,december,13,85.066971,19.345393
2012,december,13,85.0652558,19.3459123
2012,december,13,85.0659856,19.3464998
2012,december,13,85.0649791,19.3462047
2012,december,13,85.0631078,19.3476959
2012,december,13,85.0640506,19.3483913
2012,december,13,85.0644346,19.3484291
2012,december,13,85.0640439,19.3492232
2012,december,13,85.0635176,19.3496367
2012,december,13,85.0625168,19.3493343
2012,december,13,85.0631277,19.3504975
2012,december,13,85.0616587,19.3508002
2012,december,13,85.0622865,19.3504103
2012,december,13,85.0625142,19.3508535
2012,december,13,85.06077,19.3510456
2012,december,13,85.0619583,19.3512955
2012,december,13,85.0708739,19.3378252
2012,december,13,85.0728043,19.3382578
2012,december,13,85.0726813,19.3382673
2012,december,13,85.0711694,19.3385223
2012,december,13,85.0711181,19.3389035
2012,december,13,85.0708162,19.3389713
2012,december,13,85.0711082,19.3395858
2012,december,13,85.0709285,19.3396493
2012,december,13,85.0713823,19.3395985
2012,december,13,85.0695072,19.338937
2012,december,13,85.0711268,19.3402811
2012,december,13,85.0708384,19.3402898
2012,december,13,85.0707001,19.340571
2012,december,13,85.070206,19.3404413
2012,december,13,85.0685805,19.3407401
2012,december,13,85.0694016,19.3420192
2012,december,13,85.0691697,19.3424529
2012,december,13,85.067602,19.3432461
2012,december,13,85.0675098,19.3436105
2012,december,13,85.0678689,19.3433276
2012,december,14,85.0588564,19.3411705
2012,december,14,85.0610083,19.3413392
2012,december,14,85.0603072,19.3419355
2012,december,14,85.0598306,19.3416173
2012,december,14,85.0594796,19.342275
2012,december,14,85.058914,19.3420475
2012,december,14,85.0586956,19.3409006
2012,december,14,85.0587142,19.3423021
2012,december,14,85.0590843,19.3425685
2012,december,14,85.0592135,19.3429943
2012,december,14,85.0571749,19.3419323
2012,december,14,85.0585688,19.3436007
2012,december,14,85.0575128,19.3438456
2012,december,14,85.0588624,19.3440491
2012,december,14,85.0578576,19.3433454
2012,december,14,85.057821,19.3441787
2012,december,14,85.0576169,19.3446491
2012,december,14,85.0570973,19.344489
2012,december,14,85.0570513,19.3444216
2012,december,14,85.0574096,19.344703
2012,december,14,85.056773,19.3439735
2012,december,14,85.0567646,19.3456091
2012,december,14,85.0563168,19.345299
2012,december,14,85.0566422,19.346403
2012,december,14,85.0546602,19.346203
2012,december,14,85.0542041,19.3472267
2012,december,14,85.0550005,19.3469767
2012,december,14,85.0545598,19.3471542
2012,december,14,85.0547057,19.3475372
2012,december,14,85.0542521,19.3481782
2012,december,14,85.0542592,19.3481063
2012,december,14,85.0536511,19.3471812
2012,december,14,85.0535434,19.347564
2012,december,14,85.053046,19.3485417
