Region.Label,Month,Year,Area,Sample.Label,Effort,perpendicular distance (m)
Rushikulya,december,2012,0,7,3,85.51
Rushikulya,december,2012,0,7,3,234.92
Rushikulya,december,2012,0,7,3,114.91
Rushikulya,december,2012,0,7,3,98.48
Rushikulya,december,2012,0,7,3,140.95
Rushikulya,december,2012,0,7,3,75.18
Rushikulya,december,2012,0,7,3,93.97
Rushikulya,december,2012,0,7,3,114.91
Rushikulya,december,2012,0,7,3,22.98
Rushikulya,december,2012,0,7,3,98.48
Rushikulya,december,2012,0,7,3,39.39
Rushikulya,december,2012,0,7,3,17.1
Rushikulya,december,2012,0,7,3,32.14
Rushikulya,december,2012,0,7,3,76.6
Rushikulya,december,2012,0,7,3,86.6
Rushikulya,december,2012,0,7,3,114.91
Rushikulya,december,2012,0,7,3,76.6
Rushikulya,december,2012,0,7,3,38.3
Rushikulya,december,2012,0,7,3,86.6
Rushikulya,december,2012,0,7,3,76.6
Rushikulya,december,2012,0,7,3,281.91
Rushikulya,december,2012,0,7,3,173.21
Rushikulya,december,2012,0,7,3,114.91
Rushikulya,december,2012,0,7,3,17.32
Rushikulya,december,2012,0,7,3,147.72
Rushikulya,december,2012,0,7,3,131.56
Rushikulya,december,2012,0,7,3,76.6
Rushikulya,december,2012,0,7,3,114.91
Rushikulya,december,2012,0,7,3,76.6
Rushikulya,december,2012,0,7,3,114.91
Rushikulya,december,2012,0,7,3,15.32
Rushikulya,december,2012,0,7,3,38.3
Rushikulya,december,2012,0,7,3,29.54
Rushikulya,december,2012,0,7,3,49.24
Rushikulya,december,2012,0,7,3,93.97
Rushikulya,december,2012,0,7,3,50.56
Rushikulya,december,2012,0,7,3,67.2
Rushikulya,december,2012,0,7,3,38
Rushikulya,december,2012,0,7,3,62.02
Rushikulya,december,2012,0,7,3,36.64
Rushikulya,december,2012,0,7,3,0
Rushikulya,december,2012,0,7,3,0
Rushikulya,december,2012,0,7,3,0
Rushikulya,december,2012,0,7,3,58.91
Rushikulya,december,2012,0,7,3,59.77
Rushikulya,december,2012,0,7,3,72.68
Rushikulya,december,2012,0,7,3,50.56
Rushikulya,december,2012,0,7,3,64.28
Rushikulya,december,2012,0,7,3,147.72
Rushikulya,december,2012,0,7,3,29.54
Rushikulya,december,2012,0,7,3,37.59
Rushikulya,december,2012,0,7,3,93.97
Rushikulya,december,2012,0,7,3,147.72
Rushikulya,december,2012,0,7,3,192.84
Rushikulya,december,2012,0,7,3,49.24
Rushikulya,december,2012,0,7,3,140.95
Rushikulya,december,2012,0,7,3,43.3
Rushikulya,december,2012,0,7,3,38.3
Rushikulya,december,2012,0,7,3,114.91
Rushikulya,december,2012,0,7,3,34.2
Rushikulya,december,2012,0,7,3,38.3
Rushikulya,december,2012,0,7,3,129.9
Rushikulya,december,2012,0,7,3,46.98
Rushikulya,december,2012,0,7,3,114.91
Rushikulya,december,2012,0,7,3,64.28
Rushikulya,december,2012,0,8,3,114.91
Rushikulya,december,2012,0,8,3,49.24
Rushikulya,december,2012,0,8,3,114.91
Rushikulya,december,2012,0,8,3,191.51
Rushikulya,december,2012,0,8,3,100
Rushikulya,december,2012,0,8,3,122.13
Rushikulya,december,2012,0,8,3,98.48
Rushikulya,december,2012,0,8,3,129.9
Rushikulya,december,2012,0,8,3,346.41
Rushikulya,december,2012,0,8,3,114.91
Rushikulya,december,2012,0,8,3,93.97
Rushikulya,december,2012,0,8,3,43.3
Rushikulya,december,2012,0,8,3,96.42
Rushikulya,december,2012,0,8,3,96.42
Rushikulya,december,2012,0,8,3,147.72
Rushikulya,december,2012,0,8,3,224.98
Rushikulya,december,2012,0,8,3,170
Rushikulya,december,2012,0,8,3,76.6
Rushikulya,december,2012,0,8,3,114.91
Rushikulya,december,2012,0,8,3,45.96
Rushikulya,december,2012,0,8,3,86.6
Rushikulya,december,2012,0,8,3,96.42
Rushikulya,december,2012,0,8,3,187.94
Rushikulya,december,2012,0,8,3,191.51
Rushikulya,december,2012,0,8,3,114.91
Rushikulya,december,2012,0,8,3,76.6
Rushikulya,december,2012,0,8,3,49.24
Rushikulya,december,2012,0,8,3,46.98
Rushikulya,december,2012,0,8,3,9.85
Rushikulya,december,2012,0,8,3,114.91
Rushikulya,december,2012,0,8,3,38.3
Rushikulya,december,2012,0,8,3,191.51
Rushikulya,december,2012,0,8,3,76.6
Rushikulya,december,2012,0,8,3,107.25
Rushikulya,december,2012,0,8,3,179.5
Rushikulya,december,2012,0,8,3,150.51
Rushikulya,december,2012,0,8,3,89.54
Rushikulya,december,2012,0,8,3,32.14
Rushikulya,december,2012,0,8,3,114.91
Rushikulya,december,2012,0,8,3,36.64
Rushikulya,december,2012,0,8,3,51.93
Rushikulya,december,2012,0,8,3,64.9
Rushikulya,december,2012,0,8,3,34.34
Rushikulya,december,2012,0,8,3,43.71
Rushikulya,december,2012,0,8,3,173.21
Rushikulya,december,2012,0,8,3,43.3
Rushikulya,december,2012,0,8,3,50
Rushikulya,december,2012,0,8,3,44.13
Rushikulya,december,2012,0,8,3,41.2
Rushikulya,december,2012,0,8,3,50.75
Rushikulya,december,2012,0,8,3,48.54
Rushikulya,december,2012,0,8,3,58.52
Rushikulya,december,2012,0,8,3,54.56
Rushikulya,december,2012,0,8,3,81.41
Rushikulya,december,2012,0,8,3,63.83
Rushikulya,december,2012,0,8,3,56.82
Rushikulya,december,2012,0,8,3,80.21
Rushikulya,december,2012,0,8,3,234.92
Rushikulya,december,2012,0,8,3,67.96
Rushikulya,december,2012,0,8,3,39.27
Rushikulya,december,2012,0,8,3,48.86
Rushikulya,december,2012,0,8,3,62.69
Rushikulya,december,2012,0,8,3,393.92
Rushikulya,december,2012,0,8,3,173.21
Rushikulya,december,2012,0,8,3,26.66
Rushikulya,december,2012,0,8,3,45.28
Rushikulya,december,2012,0,8,3,68.88
Rushikulya,december,2012,0,8,3,46.82
Rushikulya,december,2012,0,8,3,33.44
Rushikulya,december,2012,0,8,3,27.58
Rushikulya,december,2012,0,8,3,53.37
Rushikulya,december,2012,0,8,3,53.87
Rushikulya,december,2012,0,8,3,191.51
Rushikulya,december,2012,0,8,3,147.72
Rushikulya,december,2012,0,8,3,173.21
Rushikulya,december,2012,0,8,3,46.74
Rushikulya,december,2012,0,8,3,30.05
Rushikulya,december,2012,0,8,3,8.05
Rushikulya,december,2012,0,8,3,44.08
Rushikulya,december,2012,0,8,3,192.84
Rushikulya,december,2012,0,8,3,75
Rushikulya,december,2012,0,8,3,65.78
Rushikulya,december,2012,0,8,3,129.9
Rushikulya,december,2012,0,8,3,49.24
Rushikulya,december,2012,0,8,3,76.6
Rushikulya,december,2012,0,8,3,25
Rushikulya,december,2012,0,8,3,160.7
Rushikulya,december,2012,0,8,3,50
Rushikulya,december,2012,0,8,3,38.3
Rushikulya,december,2012,0,8,3,140.95
Rushikulya,december,2012,0,8,3,49.81
Rushikulya,december,2012,0,9,3,34.2
Rushikulya,december,2012,0,9,3,43.3
Rushikulya,december,2012,0,9,3,191.51
Rushikulya,december,2012,0,9,3,32.14
Rushikulya,december,2012,0,9,3,34.2
Rushikulya,december,2012,0,9,3,191.51
Rushikulya,december,2012,0,9,3,96.42
Rushikulya,december,2012,0,9,3,96.42
Rushikulya,december,2012,0,9,3,140.95
Rushikulya,december,2012,0,9,3,114.91
Rushikulya,december,2012,0,9,3,191.51
Rushikulya,december,2012,0,9,3,234.92
Rushikulya,december,2012,0,9,3,150
Rushikulya,december,2012,0,9,3,129.9
Rushikulya,december,2012,0,9,3,27.9
Rushikulya,december,2012,0,9,3,64.28
Rushikulya,december,2012,0,9,3,191.51
Rushikulya,december,2012,0,9,3,76.6
Rushikulya,december,2012,0,9,3,64.28
Rushikulya,december,2012,0,9,3,10.26
Rushikulya,december,2012,0,9,3,15.32
Rushikulya,december,2012,0,9,3,192.84
Rushikulya,december,2012,0,9,3,64.28
Rushikulya,december,2012,0,9,3,229.81
Rushikulya,december,2012,0,9,3,99.62
Rushikulya,december,2012,0,9,3,114.91
Rushikulya,december,2012,0,9,3,49.24
Rushikulya,december,2012,0,9,3,114.91
Rushikulya,december,2012,0,9,3,192.84
Rushikulya,december,2012,0,9,3,46.98
Rushikulya,december,2012,0,9,3,129.9
Rushikulya,december,2012,0,9,3,97.76
Rushikulya,december,2012,0,9,3,38.06
Rushikulya,december,2012,0,9,3,45.85
